Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
#date+year,#country+asylum,#country+origin,#x_procedure+rsd,#x_applicants+start+total,#x_applicants+start+unhcr,#x_applicants+inyear,#x_decisions+recognized,#x_decisions+other,#x_decisions+negative+rejected,#x_decisions+closed,#x_decisions+total,#x_applicants+end+total,#x_applicants+end+unhcr
2000,Colombia,Cuba,U / FI,0,0,3,0,0,0,0,,3,3
2000,Colombia,Ecuador,U / FI,0,0,1,0,0,0,0,,1,1
2000,Colombia,Iran (Islamic Rep. of),U / FI,4,4,3,0,0,0,0,,7,7
2000,Colombia,Peru,U / FI,0,0,1,0,0,0,0,,1,1
2000,Colombia,Venezuela (Bolivarian Republic of),U / FI,1,0,0,0,0,0,1,1,0,0
2001,Colombia,Cuba,U / FI,3,3,3,0,0,0,0,,6,0
2001,Colombia,Ecuador,U / FI,1,1,0,0,0,0,1,1,0,0
2001,Colombia,Haiti,U / FI,0,0,1,0,0,0,1,1,0,0
2001,Colombia,Iran (Islamic Rep. of),U / FI,7,7,0,0,0,0,0,,7,7
2001,Colombia,Iraq,U / FI,0,0,3,0,0,0,0,,3,3
2001,Colombia,Peru,U / FI,1,1,0,0,0,0,1,1,0,0
2001,Colombia,Sierra Leone,U / FI,0,0,1,0,0,0,0,,1,1
2002,Colombia,Cuba,U / FI,6,0,3,0,0,3,5,8,1,1
2002,Colombia,Ecuador,U / FI,0,0,1,1,0,0,0,1,0,0
2002,Colombia,Haiti,U / FI,0,0,0,0,0,0,1,1,0,0
2002,Colombia,Iran (Islamic Rep. of),U / FI,7,7,0,0,0,0,0,,7,7
2002,Colombia,Iraq,U / FI,3,3,1,0,0,0,3,3,1,0
2002,Colombia,Liberia,U / FI,0,0,2,0,0,0,0,,2,2
2002,Colombia,Peru,U / FI,0,0,0,0,0,0,1,1,0,0
2002,Colombia,Sierra Leone,U / FI,1,1,0,0,0,0,0,,1,0
2003,Colombia,Bolivia (Plurinational State of),G / FI,0,0,1,0,0,0,1,1,0,0
2003,Colombia,Cuba,G / FI,1,1,4,0,0,2,0,2,3,0
2003,Colombia,Iran (Islamic Rep. of),U / FI,7,7,0,6,0,0,1,7,0,0
2003,Colombia,Iran (Islamic Rep. of),G / FI,7,7,0,0,0,6,1,7,0,0
2003,Colombia,Iran (Islamic Rep. of),U / AR,1,0,1,0,0,1,0,1,0,0
2003,Colombia,Iraq,G / FI,1,0,0,0,0,1,0,1,0,0
2003,Colombia,Liberia,G / FI,2,2,0,2,0,0,0,2,0,0
2003,Colombia,Peru,G / FI,0,0,1,0,0,0,0,,1,1
2003,Colombia,Sierra Leone,G / FI,1,0,0,0,0,0,0,,1,0
